,sensor mode,resolution,codec,sampling,framerate,160GB,aspect ratio,bit depth,datarate,file format,media type,comment,Unnamed: 12
0,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:2,120p,71 min,16:9,10 bit,280 Mb/s,MP4,"CFexpress Type A, SD",,
1,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:2,100p,71 min,16:9,10 bit,280 Mb/s,MP4,"CFexpress Type A, SD",,
2,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:2,60p,101 min,16:9,10 bit,200 Mb/s,MP4,"CFexpress Type A, SD",,
3,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:2,50p,101 min,16:9,10 bit,200 Mb/s,MP4,"CFexpress Type A, SD",,
4,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:2,30p,200 min,16:9,10 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
5,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:2,25p,200 min,16:9,10 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
6,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:2,24p,200 min,16:9,10 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
7,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:2,60p,200 min,16:9,10 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
8,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:2,50p,200 min,16:9,10 bit,100 Mb/s,MP4,"CFexpress Type A, SD",,
9,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:2,30p,366 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
10,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:2,25p,366 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
11,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:2,24p,366 min,16:9,10 bit,50 Mb/s,MP4,"CFexpress Type A, SD",,
12,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,120p,101 min,16:9,10 bit,200 Mb/s,MP4,"CFexpress Type A, SD",,
13,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,100p,101 min,16:9,10 bit,200 Mb/s,MP4,"CFexpress Type A, SD",,
14,Full Format,4K UHD (3840 x 2160),XAVC HS 4K (H.265),4:2:0,60p,133 min,16:9,10 bit,150 Mb/s,MP4,"CFexpress Type A, SD",,
